episode,name,score
208,mean,0.04500000085681677
208,rolling-mean 100,0.0029500002320855855
209,agent-0,-0.009999999776482582
209,agent-1,0.0
209,mean,-0.004999999888241291
209,rolling-mean 100,0.0029500002320855855
210,agent-0,0.0
210,agent-1,-0.009999999776482582
210,mean,-0.004999999888241291
210,rolling-mean 100,0.0029500002320855855
211,agent-0,0.0
211,agent-1,-0.009999999776482582
211,mean,-0.004999999888241291
211,rolling-mean 100,0.0029500002320855855
212,agent-0,-0.009999999776482582
212,agent-1,0.0
212,mean,-0.004999999888241291
212,rolling-mean 100,0.0029500002320855855
213,agent-0,-0.009999999776482582
213,agent-1,0.0
213,mean,-0.004999999888241291
213,rolling-mean 100,0.0029500002320855855
214,agent-0,0.0
214,agent-1,-0.009999999776482582
214,mean,-0.004999999888241291
214,rolling-mean 100,0.0029500002320855855
215,agent-0,0.0
215,agent-1,-0.009999999776482582
215,mean,-0.004999999888241291
215,rolling-mean 100,0.0019500002171844244
216,agent-0,0.0
216,agent-1,-0.009999999776482582
216,mean,-0.004999999888241291
216,rolling-mean 100,0.0019500002171844244
217,agent-0,-0.009999999776482582
217,agent-1,0.0
217,mean,-0.004999999888241291
217,rolling-mean 100,0.0019500002171844244
218,agent-0,-0.009999999776482582
218,agent-1,0.10000000149011612
218,mean,0.04500000085681677
218,rolling-mean 100,0.002450000224635005
219,agent-0,-0.009999999776482582
219,agent-1,0.0
219,mean,-0.004999999888241291
219,rolling-mean 100,0.002450000224635005
220,agent-0,0.0
220,agent-1,-0.009999999776482582
220,mean,-0.004999999888241291
220,rolling-mean 100,0.002450000224635005
221,agent-0,-0.009999999776482582
221,agent-1,0.0
221,mean,-0.004999999888241291
221,rolling-mean 100,0.002450000224635005
222,agent-0,-0.009999999776482582
222,agent-1,0.0
222,mean,-0.004999999888241291
222,rolling-mean 100,0.002450000224635005
223,agent-0,0.0
223,agent-1,-0.009999999776482582
223,mean,-0.004999999888241291
223,rolling-mean 100,0.002450000224635005
224,agent-0,0.0
224,agent-1,-0.009999999776482582
224,mean,-0.004999999888241291
224,rolling-mean 100,0.002450000224635005
225,agent-0,0.0
225,agent-1,-0.009999999776482582
225,mean,-0.004999999888241291
225,rolling-mean 100,0.002450000224635005
226,agent-0,0.0
226,agent-1,-0.009999999776482582
226,mean,-0.004999999888241291
226,rolling-mean 100,0.001450000209733844
227,agent-0,0.0
227,agent-1,-0.009999999776482582
227,mean,-0.004999999888241291
227,rolling-mean 100,0.001450000209733844
228,agent-0,-0.009999999776482582
228,agent-1,0.0
228,mean,-0.004999999888241291
228,rolling-mean 100,0.001450000209733844
229,agent-0,0.0
229,agent-1,-0.009999999776482582
229,mean,-0.004999999888241291
229,rolling-mean 100,0.001450000209733844
230,agent-0,-0.009999999776482582
230,agent-1,0.0
230,mean,-0.004999999888241291
230,rolling-mean 100,0.001450000209733844
231,agent-0,0.0
231,agent-1,-0.009999999776482582
231,mean,-0.004999999888241291
231,rolling-mean 100,0.001450000209733844
232,agent-0,-0.009999999776482582
